resident_id,post_residency_career_type,sex,institution,fellowship,total_publications,grad_year,years_post_graduation,publications_per_year,avg_if,pub_count
74,Private,M,UK,0,0,2024,1.3169062286105406,0.0,1.0,1.0
50,Private,F,USC,0,1,2022,3.3182751540041067,0.3013613861386138,4.0,1.0
76,Private,F,UPenn,0,0,2024,1.3169062286105406,0.0,,
51,Private,F,UT Antonio,0,0,2023,2.31895961670089,0.0,,
78,Private,F,UPMC,0,0,2024,1.3169062286105406,0.0,4.0,1.0
79,Private,M,USC,0,1,2024,1.3169062286105406,0.7593555093555094,5.0,1.0
11,Private,M,Columbia,0,0,2022,3.3182751540041067,0.0,2.0,1.0
22,Private,F,Maryland,0,2,2021,4.317590691307323,0.4632213062777426,3.4,5.0
44,Private,F,UNC,0,0,2022,3.3182751540041067,0.0,4.0,1.0
55,Private,M,Davis,1,0,2022,3.3182751540041067,0.0,,
84,Private,M,Cleveland Clinic,1,0,2025,0.3175906913073237,0.0,,
85,Private,M,Cleveland Clinic,0,0,2025,0.3175906913073237,0.0,2.3333,3.0
86,Private,M,Cleveland Clinic,0,0,2025,0.3175906913073237,0.0,3.0,3.0
