resident_id,post_residency_career_type,sex,institution,fellowship,total_publications,match_year,grad_year,duration,years_during_residency,publications_per_year,avg_if,pub_count
74,Private,M,UK,0,1,2018,2024,6,6.0,0.1666666666666666,1.0,1.0
50,Private,F,USC,0,0,2015,2022,7,7.0,0.0,4.0,1.0
76,Private,F,UPenn,0,0,2016,2024,8,8.0,0.0,,
51,Private,F,UT Antonio,0,0,2017,2023,6,6.0,0.0,,
78,Private,F,UPMC,0,1,2017,2024,7,7.0,0.1428571428571428,4.0,1.0
79,Private,M,USC,0,1,2017,2024,7,7.0,0.1428571428571428,5.0,1.0
11,Private,M,Columbia,0,1,2016,2022,6,6.0,0.1666666666666666,2.0,1.0
22,Private,F,Maryland,0,3,2015,2021,6,6.0,0.5,3.4,5.0
44,Private,F,UNC,0,1,2016,2022,6,6.0,0.1666666666666666,4.0,1.0
55,Private,M,Davis,1,0,2016,2022,6,6.0,0.0,,
84,Private,M,Cleveland Clinic,1,0,2016,2025,9,9.0,0.0,,
85,Private,M,Cleveland Clinic,0,4,2019,2025,6,6.0,0.6666666666666666,2.3333,3.0
86,Private,M,Cleveland Clinic,0,4,2019,2025,6,6.0,0.6666666666666666,3.0,3.0
