journal_name,publication_count
JTCVS techniques,13
The Journal of thoracic and cardiovascular surgery,12
JTCVS open,10
Annals of thoracic surgery short reports,6
The Annals of thoracic surgery,6
Cureus,4
Nature communications,2
The Lancet regional health. Western Pacific,2
Multimedia manual of cardiothoracic surgery : MMCTS,2
Structural heart : the journal of the Heart Team,2
Current cardiology reports,1
Journal of cardiac failure,1
Journal of chest surgery,1
Perfusion,1
The cardiothoracic surgeon,1
The Journal of invasive cardiology,1
"Healthcare (Basel, Switzerland)",1
Oral and maxillofacial surgery clinics of North America,1
"Academic medicine :, journal of the Association of American Medical Colleges..",1
Biochemical pharmacology,1
Revista espanola de enfermedades digestivas,1
Respiratory research,1
Oncology reports,1
Cancers,1
Vascular pharmacology,1
Journal of the American College of Cardiology,1
Blood coagulation & fibrinolysis : an international journal in haemostasis and thrombosis,1
International journal of environmental research and public health,1
Health services insights,1
The Science of the total environment,1
"Antibiotics (Basel, Switzerland)",1
Psychological reports,1
Marine pollution bulletin,1
Neurourology and urodynamics,1
"Antioxidants (Basel, Switzerland)",1
Polymers,1
Frontiers in cardiovascular medicine,1
The Review of scientific instruments,1
International journal of cardiology,1
JACC. Case reports,1
Journal of cardiothoracic and vascular anesthesia,1
Clinical cancer research : an official journal of the American Association for Cancer Research,1
Journal of cardiothoracic surgery,1
ASAIO journal (American Society for Artificial Internal Organs : 1992),1
Journal of thoracic disease,1
Journal of thrombosis and thrombolysis,1
Frontiers in pediatrics,1
Current problems in surgery,1
Clinical research in cardiology : official journal of the German Cardiac Society,1
"The International journal of angiology : official publication of the International College of Angiology, Inc",1
Clinical and applied thrombosis/hemostasis : official journal of the International Academy of Clinical and Applied Thrombosis/Hemostasis,1
World journal for pediatric & congenital heart surgery,1
Bioengineering & translational medicine,1
"Arteriosclerosis, thrombosis, and vascular biology",1
Journal of bioscience and bioengineering,1
The journal of vascular access,1
Vessel plus,1
The American journal of cardiology,1
"Clinics (Sao Paulo, Brazil)",1
Scientific reports,1
BMJ case reports,1
World journal of urology,1
