journal_name,publication_count
Annals of thoracic surgery short reports,5
JTCVS open,4
Journal of the American College of Cardiology,4
Journal of clinical medicine,3
Multimedia manual of cardiothoracic surgery : MMCTS,2
"Innovations (Philadelphia, Pa.)",2
Cureus,2
ASAIO journal (American Society for Artificial Internal Organs : 1992),2
Anesthesia and analgesia,2
The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,1
Journal of vascular surgery,1
American journal of surgery,1
Frontiers in sociology,1
Psychological medicine,1
IEEE transactions on medical imaging,1
Insights into imaging,1
Journal of the American Society of Echocardiography : official publication of the American Society of Echocardiography,1
The Journal of thoracic and cardiovascular surgery,1
Cancer gene therapy,1
Translational lung cancer research,1
Journal of chest surgery,1
The American journal of cardiology,1
JACC. Advances,1
Seminars in thoracic and cardiovascular surgery. Pediatric cardiac surgery annual,1
Journal of cardiovascular computed tomography,1
The Journal of invasive cardiology,1
International journal of molecular sciences,1
ACS applied materials & interfaces,1
Current issues in molecular biology,1
Marine environmental research,1
Frontiers in artificial intelligence,1
Perfusion,1
JACC. Asia,1
Journal of cardiothoracic and vascular anesthesia,1
Open forum infectious diseases,1
Clinical case reports,1
American heart journal,1
Journal of cardiovascular electrophysiology,1
Biomaterials,1
Communications medicine,1
Annals of surgery,1
Advanced nanobiomed research,1
Case reports in cardiology,1
Critical care nurse,1
The Journal of clinical investigation,1
JACC. Heart failure,1
JAMA network open,1
"Journal of anaesthesiology, clinical pharmacology",1
Angiology,1
