journal_name,publication_count
Journal of cardiac surgery,19
The Annals of thoracic surgery,17
The Journal of thoracic and cardiovascular surgery,13
Seminars in thoracic and cardiovascular surgery,8
JTCVS techniques,4
ASAIO journal (American Society for Artificial Internal Organs : 1992),4
Circulation. Cardiovascular quality and outcomes,4
Cureus,3
Multimedia manual of cardiothoracic surgery : MMCTS,3
Journal of the American Heart Association,3
Frontiers in cell and developmental biology,2
The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,2
Journal of the American College of Cardiology,2
Annals of surgical oncology,2
Journal of thoracic disease,2
The Journal of surgical research,2
Future cardiology,1
Global change biology,1
Cardiovascular pathology : the official journal of the Society for Cardiovascular Pathology,1
European heart journal. Cardiovascular Imaging,1
American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,1
International journal of environmental research and public health,1
Hydrogeology journal,1
"Children (Basel, Switzerland)",1
Schizophrenia bulletin,1
The Lancet. Haematology,1
Globalization and health,1
Bone marrow transplantation,1
The Lancet. Digital health,1
Journal of inflammation research,1
Computers in biology and medicine,1
Cells,1
Gastroenterology report,1
Seminars in respiratory and critical care medicine,1
Journal of cardiovascular electrophysiology,1
Photodiagnosis and photodynamic therapy,1
Mathematical biosciences and engineering : MBE,1
PeerJ,1
Neurological research and practice,1
International journal of molecular sciences,1
"Cityscape (Washington, D.C.)",1
Artificial organs,1
Nature communications,1
Circulation. Heart failure,1
Nano letters,1
Analytical and bioanalytical chemistry,1
Spine,1
Asian cardiovascular & thoracic annals,1
Indian journal of thoracic and cardiovascular surgery,1
Annals of cardiothoracic surgery,1
Nature reviews. Cardiology,1
Current heart failure reports,1
"Medicina (Kaunas, Lithuania)",1
World journal for pediatric & congenital heart surgery,1
JACC. CardioOncology,1
The American journal of cardiology,1
Clinical and applied thrombosis/hemostasis : official journal of the International Academy of Clinical and Applied Thrombosis/Hemostasis,1
"Vascular medicine (London, England)",1
Journal of surgical education,1
Circulation. Cardiovascular interventions,1
Bio-design and manufacturing,1
Frontiers in cardiovascular medicine,1
Surgery,1
Frontiers in bioengineering and biotechnology,1
Journal of cardiothoracic and vascular anesthesia,1
Journal of the American College of Surgeons,1
Journal of cardiac failure,1
Transplantation proceedings,1
JAMA surgery,1
"Internal medicine (Tokyo, Japan)",1
"Aorta (Stamford, Conn.)",1
Clinical & experimental neuroimmunology,1
JAMA internal medicine,1
Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,1
Scientific reports,1
The Canadian journal of cardiology,1
Substance abuse,1
JTCVS open,1
JACC. Heart failure,1
PloS one,1
Turk patoloji dergisi,1
International braz j urol : official journal of the Brazilian Society of Urology,1
